time,perimeter,area,overl,location,diameter profile (pixels),Height (nm),Height Profile (nm),Distance Profile (nm),length (pixels)
3301940,,,,,,,,,
3302004,,,,,,,,,
3302013,,,,,,,,,
3302022,,,,,,,,,
3302032,,,,,,,,,
3302040,,,,,,,,,
3302137,,,,,,,,,
3302146,,,,,,,,,
3302155,,,,,,,,,
3302213,,,,,,,,,
3302221,,,,,,,,,
3302230,,,,,,,,,
3302239,,,,,,,,,
3302248,,,,,,,,,
3302258,,,,,,,,,
3302325,,,,,,,,,
3310009,,,,,,,,,
3310036,,,,,,,,,
3310053,,,,,,,,,
3310111,,,,,,,,,
3310120,,,,,,,,,
3310138,,,,,,,,,
3310156,,,,,,,,,
3310205,,,,,,,,,
3310214,,,,,,,,,
3310223,,,,,,,,,
3310240,,,,,,,,,
3310249,,,,,,,,,
3310316,,,,,,,,,
3310325,,,,,,,,,
3310334,,,,,,,,,
3310343,,,,,,,,,
3310351,,,,,,,,,
3310400,,,,,,,,,
3310409,,,,,,,,,
3310436,,,,,,,,,
3310445,,,,,,,,,
3310454,,,,,,,,,
